Give it up for my sister!	Single Ladies	If I Were A Boy
All right now	Single Ladies	If I Were A Boy
Everybody put your hands together	Single Ladies	If I Were A Boy
Do we have any single ladies in the house tonight?	Single Ladies	If I Were A Boy
sing	Single Ladies	If I Were A Boy
All the single ladies (All the single ladies)	Single Ladies	If I Were A Boy
All the single ladies (All the single ladies)	Single Ladies	If I Were A Boy
All the single ladies (All the single ladies)	Single Ladies	If I Were A Boy
All the single ladies	Single Ladies	If I Were A Boy
Now put your hands up	Single Ladies	If I Were A Boy
Up in the club (club)	Single Ladies	If I Were A Boy
Just broke up (up)	Single Ladies	If I Were A Boy
I'm doing my own little thing	Single Ladies	If I Were A Boy
You decided to dip (dip)	Single Ladies	If I Were A Boy
But now you wanna trip (trip)	Single Ladies	If I Were A Boy
'Cause another brother noticed me	Single Ladies	If I Were A Boy
I'm up on him (him)	Single Ladies	If I Were A Boy
He up on me (me)	Single Ladies	If I Were A Boy
Don't pay him any attention	Single Ladies	If I Were A Boy
I cried my tears (tears)	Single Ladies	If I Were A Boy
For three good years (years)	Single Ladies	If I Were A Boy
You can't be mad at me	Single Ladies	If I Were A Boy
'Cause if you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
Don't be mad once you see that he want it	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh	Single Ladies	If I Were A Boy
Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh (whoa, oh, oh)	Single Ladies	If I Were A Boy
'Cause if you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
Don't be mad once you see that he want it	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
Now wait	Single Ladies	If I Were A Boy
I want y'all to get nice and stanky with me	Single Ladies	If I Were A Boy
Where I'm from	Single Ladies	If I Were A Boy
We do things nice and stanky	Single Ladies	If I Were A Boy
We do things nice and funky (alright y'all)	Single Ladies	If I Were A Boy
Can y'all repeat after me	Single Ladies	If I Were A Boy
You ready? Say	Single Ladies	If I Were A Boy
Hey-ay (hey-ay)	Single Ladies	If I Were A Boy
Hey ay-ay (hey ay-ay)	Single Ladies	If I Were A Boy
Hey-ay (hey-ay)	Single Ladies	If I Were A Boy
Hey ay-ay (hey ay-ay)	Single Ladies	If I Were A Boy
Hey-ay (hey-ay)	Single Ladies	If I Were A Boy
Hey ay-ay (hey ay-ay)	Single Ladies	If I Were A Boy
Hey-ay-yeah (hey-ay-yeah)	Single Ladies	If I Were A Boy
Hey-ay-ay (hey-ay-ay)	Single Ladies	If I Were A Boy
Now wait	Single Ladies	If I Were A Boy
You still ain't stankin' enough for me	Single Ladies	If I Were A Boy
Say whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh	Single Ladies	If I Were A Boy
(Sing) whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh (put your hands up)	Single Ladies	If I Were A Boy
Say whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh	Single Ladies	If I Were A Boy
(Where my ring at?)	Single Ladies	If I Were A Boy
Oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh	Single Ladies	If I Were A Boy
Sing (whoa, oh, oh)	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
Don't be mad once you see that he want it (I see you)	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a (ring on it)	Single Ladies	If I Were A Boy
(Whoa, oh, oh, oh) if you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
Don't be mad once you see that he want it	Single Ladies	If I Were A Boy
If you like it, then you shoulda put a ring on it	Single Ladies	If I Were A Boy
(Whoa, oh, oh, oh) hey	Single Ladies	If I Were A Boy
I love y'all	Single Ladies	If I Were A Boy
If I were a boy	If I Were A Boy	If I Were A Boy
Even just for a day	If I Were A Boy	If I Were A Boy
I'd roll outta bed in the morning	If I Were A Boy	If I Were A Boy
And throw on what I wanted and go	If I Were A Boy	If I Were A Boy
Drink beer with the guys	If I Were A Boy	If I Were A Boy
And chase after girls	If I Were A Boy	If I Were A Boy
I'd kick it with who I wanted	If I Were A Boy	If I Were A Boy
And I'd never get confronted for it	If I Were A Boy	If I Were A Boy
'Cause they'd stick up for me	If I Were A Boy	If I Were A Boy
If I were a boy	If I Were A Boy	If I Were A Boy
I think I could understand	If I Were A Boy	If I Were A Boy
How it feels to love a girl	If I Were A Boy	If I Were A Boy
I swear I'd be a better man	If I Were A Boy	If I Were A Boy
I'd listen to her	If I Were A Boy	If I Were A Boy
'Cause I know how it hurts	If I Were A Boy	If I Were A Boy
When you lose the one you wanted	If I Were A Boy	If I Were A Boy
'Cause he's taken you for granted	If I Were A Boy	If I Were A Boy
And everything you had got destroyed	If I Were A Boy	If I Were A Boy
If I were a boy	If I Were A Boy	If I Were A Boy
I would turn off my phone	If I Were A Boy	If I Were A Boy
Tell everyone it's broken	If I Were A Boy	If I Were A Boy
So they'd think that I was sleepin' alone	If I Were A Boy	If I Were A Boy
I'd put myself first	If I Were A Boy	If I Were A Boy
And make the rules as I go	If I Were A Boy	If I Were A Boy
'Cause I know that she'd be faithful	If I Were A Boy	If I Were A Boy
Waitin' for me to come home (to come home)	If I Were A Boy	If I Were A Boy
If I were a boy	If I Were A Boy	If I Were A Boy
I think I could understand	If I Were A Boy	If I Were A Boy
How it feels to love a girl	If I Were A Boy	If I Were A Boy
I swear I'd be a better man	If I Were A Boy	If I Were A Boy
I'd listen to her	If I Were A Boy	If I Were A Boy
'Cause I know how it hurts	If I Were A Boy	If I Were A Boy
When you lose the one you wanted (wanted)	If I Were A Boy	If I Were A Boy
'Cause he's taken you for granted (granted)	If I Were A Boy	If I Were A Boy
And everything you had got destroyed	If I Were A Boy	If I Were A Boy
It's a little too late for you to come back	If I Were A Boy	If I Were A Boy
Say it's just a mistake	If I Were A Boy	If I Were A Boy
Think I'd forgive you like that	If I Were A Boy	If I Were A Boy
If you thought I would wait for you	If I Were A Boy	If I Were A Boy
You thought wrong	If I Were A Boy	If I Were A Boy
But you're just a boy	If I Were A Boy	If I Were A Boy
You don't understand	If I Were A Boy	If I Were A Boy
Yeah, you don't understand, oh	If I Were A Boy	If I Were A Boy
How it feels to love a girl someday	If I Were A Boy	If I Were A Boy
You wish you were a better man	If I Were A Boy	If I Were A Boy
You don't listen to her	If I Were A Boy	If I Were A Boy
You don't care how it hurts	If I Were A Boy	If I Were A Boy
Until you lose the one you wanted	If I Were A Boy	If I Were A Boy
'Cause you've taken her for granted	If I Were A Boy	If I Were A Boy
And everything you had got destroyed	If I Were A Boy	If I Were A Boy
But you're just a boy 	If I Were A Boy	If I Were A Boy
To the left, to the left	Irreplacable	B'Day
To the left, to the left	Irreplacable	B'Day
To the left, to the left	Irreplacable	B'Day
Everything you own in the box to the left	Irreplacable	B'Day
In the closet that's my stuff, yes	Irreplacable	B'Day
If I bought it please don't touch	Irreplacable	B'Day
And keep talking that mess, that's fine	Irreplacable	B'Day
But could you walk and talk at the same time?	Irreplacable	B'Day
And it's my mine name that is on that tag	Irreplacable	B'Day
So remove your bags let me call you a cab	Irreplacable	B'Day
Standing in the front yard telling me	Irreplacable	B'Day
How I'm such a fool, talking about	Irreplacable	B'Day
How I'll never ever find a man like you	Irreplacable	B'Day
You got me twisted	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
I could have another you in a minute	Irreplacable	B'Day
Matter fact he'll be here in a minute, baby	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
I can have another you by tomorrow	Irreplacable	B'Day
So don't you ever for a second get	Irreplacable	B'Day
To thinking you're irreplaceable	Irreplacable	B'Day
So go ahead and get gone	Irreplacable	B'Day
And call up that chick and see if she's home	Irreplacable	B'Day
Oops, I bet ya thought that I didn't know	Irreplacable	B'Day
What did you think I was putting you out for?	Irreplacable	B'Day
Because you was untrue	Irreplacable	B'Day
Rolling her around in the car that I bought you	Irreplacable	B'Day
Baby you dropped them keys	Irreplacable	B'Day
Hurry up before your taxi leaves	Irreplacable	B'Day
Standing in the front yard telling me	Irreplacable	B'Day
How I am such a fool, talking about	Irreplacable	B'Day
How I'll never ever find a man like you	Irreplacable	B'Day
You got me twisted	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
I can have another you in a minute	Irreplacable	B'Day
Matter fact he'll be here in a minute, baby	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
I'll have another you by tomorrow	Irreplacable	B'Day
So don't you ever for a second	Irreplacable	B'Day
Get to thinking you're irreplaceable	Irreplacable	B'Day
So since I'm not your everything	Irreplacable	B'Day
How about I'll be nothing, nothing at all to you	Irreplacable	B'Day
Baby I won't shed a tear for you	Irreplacable	B'Day
I won't lose a wink of sleep	Irreplacable	B'Day
'Cause the truth of the matter	Irreplacable	B'Day
Is replacing you is so easy	Irreplacable	B'Day
To the left, to the left	Irreplacable	B'Day
To the left, to the left	Irreplacable	B'Day
To the left, to the left	Irreplacable	B'Day
Everything you own in the box to the left	Irreplacable	B'Day
To the left, to the left	Irreplacable	B'Day
Don't you ever for a second get	Irreplacable	B'Day
To thinking you're irreplaceable	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
I can have another you in a minute	Irreplacable	B'Day
Matter fact he'll be here in a minute, baby	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
I can have another you by tomorrow	Irreplacable	B'Day
So don't you ever for a second	Irreplacable	B'Day
Get to thinking, baby	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
You must not know 'bout me	Irreplacable	B'Day
I can have another you in a minute	Irreplacable	B'Day
Matter fact he'll be here in a minute	Irreplacable	B'Day
You could pack all your things, we're finished	Irreplacable	B'Day
(You must not know 'bout me)	Irreplacable	B'Day
'Cause you made your bed, now lay in it	Irreplacable	B'Day
(You must not know 'bout me)	Irreplacable	B'Day
I can have another you by tomorrow	Irreplacable	B'Day
Don't you ever for a second	Irreplacable	B'Day
Get to thinking you're irreplaceable	Irreplacable	B'Day
