X,Y,objectid,longitude,latitude,name,island,shape
-155.948318830524,19.1983298285925,1,-155.94833333,19.19833333,B,Hawaii,
-155.986652168988,19.3849965036549,2,-155.98666667,19.385,C,Hawaii,
-155.956652161262,19.0766631558762,3,-155.95666667,19.07666667,TT,Hawaii,
-155.951652165695,19.2799964988846,4,-155.95166667,19.28,UU,Hawaii,
-156.031652175174,19.5849965123228,5,-156.03166667,19.585,VV,Hawaii,
-156.19331885298,19.8766631895527,6,-156.19333333,19.87666667,OT,Hawaii,
-155.391652148603,19.1299965052734,7,-155.39166667,19.13,RN,Hawaii,
-154.983318825646,19.9766632173307,8,-154.98333333,19.97666667,HK,Hawaii,
-156.266652201109,20.5333298877728,9,-156.26666667,20.53333333,GG,Maui,
-156.633318875617,20.4033298750835,10,-156.63333333,20.40333333,JJ,Maui,
-157.141652228856,20.598329877578,11,-157.14166667,20.59833333,MC,Maui,
-156.158318864526,20.548329890289,12,-156.15833333,20.54833333,NL,Maui,
-156.583318889087,21.3483299267408,13,-156.58333333,21.34833333,N,Maui,
-156.484985538616,20.4499965466777,14,-156.485,20.45,HS,Maui,
-158.146652280971,21.8333299387934,15,-158.14666667,21.83333333,J,Oahu,
-157.811652254092,20.7733298775442,16,-157.81166667,20.77333333,P,Oahu,
-158.281652282517,21.4583299135694,17,-158.28166667,21.45833333,R,Oahu,
-158.246652279896,21.3966632433763,18,-158.24666667,21.39666667,S,Oahu,
-157.429985584837,21.5033299252257,19,-157.43,21.50333333,T,Oahu,
-157.691652261252,21.5816632608519,20,-157.69166667,21.58166667,U,Oahu,
-158.313318950712,21.5383299184335,21,-158.31333333,21.53833333,V,Oahu,
-157.993318942443,21.8633299414945,22,-157.99333333,21.86333333,X,Oahu,
-158.034985599813,21.0349965568663,23,-158.035,21.035,HH,Oahu,
-158.221652282921,21.7466632656061,24,-158.22166667,21.74666667,II,Oahu,
-157.754985598888,21.7483299365637,25,-157.755,21.74833333,LL,Oahu,
-158.151652273122,21.1499965629066,26,-158.15166667,21.15,BO,Oahu,
-159.308318996527,21.8749965975792,27,-159.30833333,21.875,Z,Kauai,
-159.609985676668,21.8216632574156,28,-159.61,21.82166667,AA,Kauai,
-159.231652329942,22.226663289176,29,-159.23166667,22.22666667,BB,Kauai,
-159.358318997723,21.8066632590454,30,-159.35833333,21.80666667,CK,Kauai,
-159.228318995887,22.1249966149658,31,-159.22833333,22.125,DK,Kauai,
-159.491652341786,22.3266632940083,32,-159.49166667,22.32666667,EK,Kauai,
-159.569985674059,21.7949965895543,33,-159.57,21.795,PP,Kauai,
-159.214985660917,22.0216632745016,34,-159.215,22.02166667,WK,Kauai,
-159.731652348747,21.8649965930134,35,-159.73166667,21.865,KK,Kauai,
,,36,0,0,,,
,,37,0,0,,,
,,38,0,0,,,
,,39,0,0,,,
